;dataset;model;metric;value;run
115;celeba;resnetcbm;disentanglement;0.7478507019673986;0
116;celeba;resnetcbm;disentanglement;0.7472614372664771;1
117;celeba;resnetcbm;disentanglement;0.7468010997135105;2
118;celeba;resnetcbm;disentanglement;0.7400812562745486;3
119;celeba;resnetcbm;disentanglement;0.7477499486604284;4
120;shapes3d;labo;leakage;0.8785536304890188;0
121;shapes3d;labo;leakage;0.8785536304890188;1
122;shapes3d;labo;leakage;0.8785536304890188;2
123;shapes3d;labo;leakage;0.8785536304890188;3
124;shapes3d;labo;leakage;0.8785536304890188;4
125;shapes3d;labo;label_f1;0.7586083001070913;0
126;shapes3d;labo;label_f1;0.7603974491890813;1
127;shapes3d;labo;label_f1;0.7590402130623077;2
128;shapes3d;labo;label_f1;0.7551855652924147;3
129;shapes3d;labo;label_f1;0.7503413060027118;4
130;shapes3d;labo;avg_concept_auc;0.31253184174216453;0
131;shapes3d;labo;avg_concept_auc;0.3145420894511095;1
132;shapes3d;labo;avg_concept_auc;0.3150511013606824;2
133;shapes3d;labo;avg_concept_auc;0.31282912793200174;3
134;shapes3d;labo;avg_concept_auc;0.3136692621627401;4
135;shapes3d;labo;ois;0.15156018733978271;0
136;shapes3d;labo;ois;0.15156018733978271;1
137;shapes3d;labo;ois;0.15156018733978271;2
138;shapes3d;labo;ois;0.15156018733978271;3
139;shapes3d;labo;ois;0.15156018733978271;4
140;shapes3d;labo;disentanglement;0.28117010759635197;0
141;shapes3d;labo;disentanglement;0.28117010759635197;1
142;shapes3d;labo;disentanglement;0.28117010759635197;2
143;shapes3d;labo;disentanglement;0.28117010759635197;3
144;shapes3d;labo;disentanglement;0.28117010759635197;4
145;shapes3d;lfcbm;leakage;0.7117518671437645;0
146;shapes3d;lfcbm;leakage;0.7299083945259565;1
147;shapes3d;lfcbm;leakage;0.7224302882777721;2
148;shapes3d;lfcbm;leakage;0.7211256678715152;3
149;shapes3d;lfcbm;leakage;0.7262072202966426;4
150;shapes3d;lfcbm;label_f1;0.9600631162510769;0
151;shapes3d;lfcbm;label_f1;0.9625111102305952;1
152;shapes3d;lfcbm;label_f1;0.9626521145496885;2
153;shapes3d;lfcbm;label_f1;0.9596015342586716;3
154;shapes3d;lfcbm;label_f1;0.9609260741190431;4
155;shapes3d;lfcbm;avg_concept_auc;0.3048773756431264;0
156;shapes3d;lfcbm;avg_concept_auc;0.30644636957270716;1
157;shapes3d;lfcbm;avg_concept_auc;0.30553967510575303;2
158;shapes3d;lfcbm;avg_concept_auc;0.30317001125848986;3
159;shapes3d;lfcbm;avg_concept_auc;0.3059320213837136;4
160;shapes3d;lfcbm;ois;0.1530931144952774;0
161;shapes3d;lfcbm;ois;0.15202805399894714;1
162;shapes3d;lfcbm;ois;0.15084783732891083;2
163;shapes3d;lfcbm;ois;0.15256363153457642;3
164;shapes3d;lfcbm;ois;0.1519489288330078;4
165;shapes3d;lfcbm;disentanglement;0.28003908981231185;0
166;shapes3d;lfcbm;disentanglement;0.2796630454701597;1
167;shapes3d;lfcbm;disentanglement;0.27873171634786625;2
168;shapes3d;lfcbm;disentanglement;0.2792185657371298;3
169;shapes3d;lfcbm;disentanglement;0.2786859981189961;4
170;shapes3d;oracle;leakage;0.5861037980416443;0
171;shapes3d;oracle;leakage;0.7154760826539796;1
172;shapes3d;oracle;leakage;0.6880777679098188;2
173;shapes3d;oracle;leakage;0.6532438941522806;3
174;shapes3d;oracle;leakage;0.6936647075075009;4
175;shapes3d;oracle;label_f1;0.6872607026530901;0
176;shapes3d;oracle;label_f1;0.6621235206270556;1
177;shapes3d;oracle;label_f1;0.7052622867356224;2
178;shapes3d;oracle;label_f1;0.6505857505705661;3
179;shapes3d;oracle;label_f1;0.7036953113731774;4
180;shapes3d;oracle;avg_concept_auc;0.5176581474348951;0
181;shapes3d;oracle;avg_concept_auc;0.5213997590811207;1
182;shapes3d;oracle;avg_concept_auc;0.520052737939897;2
183;shapes3d;oracle;avg_concept_auc;0.5223506669112109;3
184;shapes3d;oracle;avg_concept_auc;0.5235410054001323;4
185;shapes3d;oracle;ois;0.13191601634025574;0
186;shapes3d;oracle;ois;0.13152441382408142;1
187;shapes3d;oracle;ois;0.13234488666057587;2
188;shapes3d;oracle;ois;0.13061748445034027;3
189;shapes3d;oracle;ois;0.13045816123485565;4
190;shapes3d;oracle;disentanglement;0.5050241497821902;0
191;shapes3d;oracle;disentanglement;0.5168954322525873;1
192;shapes3d;oracle;disentanglement;0.5144362971904328;2
193;shapes3d;oracle;disentanglement;0.5108407480742724;3
194;shapes3d;oracle;disentanglement;0.5122458203445943;4
195;shapes3d;vlgcbm;leakage;0.13512934730488282;0
196;shapes3d;vlgcbm;leakage;0.13512934730488282;1
197;shapes3d;vlgcbm;leakage;0.13512934730488282;2
198;shapes3d;vlgcbm;leakage;0.13512934730488282;3
199;shapes3d;vlgcbm;leakage;0.13512934730488282;4
200;shapes3d;vlgcbm;label_f1;0.5223840163915784;0
201;shapes3d;vlgcbm;label_f1;0.5223840163915784;1
202;shapes3d;vlgcbm;label_f1;0.5223840163915784;2
203;shapes3d;vlgcbm;label_f1;0.5223840163915784;3
204;shapes3d;vlgcbm;label_f1;0.5223840163915784;4
205;shapes3d;vlgcbm;avg_concept_auc;0.23611747817623968;0
206;shapes3d;vlgcbm;avg_concept_auc;0.2348235308482848;1
