;dataset;model;metric;value;run
119;cub;resnetcbm;ois;0.09317444264888763;4
120;cub;resnetcbm;disentanglement;0.751891816236788;0
121;cub;resnetcbm;disentanglement;0.7455933383653771;1
122;cub;resnetcbm;disentanglement;0.7516770827186093;2
123;cub;resnetcbm;disentanglement;0.747837751330414;3
124;cub;resnetcbm;disentanglement;0.7495423806965995;4
125;celeba;labo;leakage;0.47811521715864996;0
126;celeba;labo;leakage;0.47811521715864996;1
127;celeba;labo;leakage;0.47811521715864996;2
128;celeba;labo;leakage;0.47811521715864996;3
129;celeba;labo;leakage;0.47811521715864996;4
130;celeba;labo;label_f1;0.9734937642019409;0
131;celeba;labo;label_f1;0.9733375476145765;1
132;celeba;labo;label_f1;0.9732854800117651;2
133;celeba;labo;label_f1;0.9733375476145765;3
134;celeba;labo;label_f1;0.9733387949608705;4
135;celeba;labo;avg_concept_auc;0.38139414920951176;0
136;celeba;labo;avg_concept_auc;0.38209062728742677;1
137;celeba;labo;avg_concept_auc;0.3799232464597563;2
138;celeba;labo;avg_concept_auc;0.38773230147851573;3
139;celeba;labo;avg_concept_auc;0.3817151008927357;4
140;celeba;labo;ois;0.163687065243721;0
141;celeba;labo;ois;0.163687065243721;1
142;celeba;labo;ois;0.163687065243721;2
143;celeba;labo;ois;0.163687065243721;3
144;celeba;labo;ois;0.163687065243721;4
145;celeba;labo;disentanglement;0.2804863482728319;0
146;celeba;labo;disentanglement;0.2804863482728319;1
147;celeba;labo;disentanglement;0.2804863482728319;2
148;celeba;labo;disentanglement;0.2804863482728319;3
149;celeba;labo;disentanglement;0.2804863482728319;4
150;celeba;lfcbm;leakage;0.5809340219324168;0
151;celeba;lfcbm;leakage;0.6049358466772389;1
152;celeba;lfcbm;leakage;0.5908047502918655;2
153;celeba;lfcbm;leakage;0.5998337072309886;3
154;celeba;lfcbm;label_f1;0.9872415931676131;0
155;celeba;lfcbm;label_f1;0.9875598403258925;1
156;celeba;lfcbm;label_f1;0.9874007206843904;2
157;celeba;lfcbm;label_f1;0.9876608628036521;3
158;celeba;lfcbm;avg_concept_auc;0.4138698604087169;0
159;celeba;lfcbm;avg_concept_auc;0.4120358003236764;1
160;celeba;lfcbm;avg_concept_auc;0.4188810134739875;2
161;celeba;lfcbm;avg_concept_auc;0.42121032153766125;3
162;celeba;lfcbm;ois;0.16034035384655;0
163;celeba;lfcbm;ois;0.16114306449890137;1
164;celeba;lfcbm;ois;0.15911395847797394;2
165;celeba;lfcbm;ois;0.15977194905281067;3
166;celeba;lfcbm;disentanglement;0.2913374807935228;0
167;celeba;lfcbm;disentanglement;0.295218583697467;1
168;celeba;lfcbm;disentanglement;0.2948982846950661;2
169;celeba;lfcbm;disentanglement;0.29467424462841707;3
170;celeba;oracle;leakage;0.6450602530339992;0
171;celeba;oracle;leakage;0.6569775263966264;1
172;celeba;oracle;leakage;0.649106365441477;2
173;celeba;oracle;leakage;0.6837863377872069;3
174;celeba;oracle;leakage;0.6479458630473084;4
175;celeba;oracle;label_f1;0.6775198994749528;0
176;celeba;oracle;label_f1;0.71550200694113;1
177;celeba;oracle;label_f1;0.6702397588377798;2
178;celeba;oracle;label_f1;0.664901867095794;3
