;dataset;model;metric;value;run
104;celeba;oracle;leakage;0.7541942875157716;4
105;celeba;oracle;leakage;0.7504509250412512;5
106;celeba;oracle;leakage;0.7837965939177793;6
107;celeba;oracle;leakage;0.7393335488007354;7
108;celeba;oracle;leakage;0.7226673202895406;8
109;celeba;oracle;leakage;0.7388883602397821;9
110;celeba;oracle;label_f1;0.9701573246795683;0
111;celeba;oracle;label_f1;0.970364493271911;1
112;celeba;oracle;label_f1;0.9707808331298453;2
113;celeba;oracle;label_f1;0.9722888370720995;3
114;celeba;oracle;label_f1;0.9702841570710029;4
115;celeba;oracle;label_f1;0.9685870477089968;5
116;celeba;oracle;label_f1;0.9701057635891528;6
117;celeba;oracle;label_f1;0.9703420300835419;7
118;celeba;oracle;label_f1;0.967163305922323;8
119;celeba;oracle;label_f1;0.9719331913486886;9
120;celeba;oracle;avg_concept_auc;0.5172341818185271;0
121;celeba;oracle;avg_concept_auc;0.5209542021337252;1
122;celeba;oracle;avg_concept_auc;0.5178479511800195;2
123;celeba;oracle;avg_concept_auc;0.524254715972586;3
124;celeba;oracle;avg_concept_auc;0.5188908520158296;4
125;celeba;oracle;avg_concept_auc;0.51830696089809;5
126;celeba;oracle;avg_concept_auc;0.5198112576705864;6
127;celeba;oracle;avg_concept_auc;0.5174752639495881;7
128;celeba;oracle;avg_concept_auc;0.5203994814551773;8
129;celeba;oracle;avg_concept_auc;0.5192854807441147;9
130;celeba;oracle;ois;0.15537197887897491;0
131;celeba;oracle;ois;0.15566161274909973;1
132;celeba;oracle;ois;0.15508076548576355;2
133;celeba;oracle;ois;0.15364527702331543;3
134;celeba;oracle;ois;0.15500126779079437;4
135;celeba;oracle;ois;0.15393176674842834;5
136;celeba;oracle;ois;0.15543591976165771;6
137;celeba;oracle;ois;0.1550462692975998;7
138;celeba;oracle;ois;0.15575291216373444;8
139;celeba;oracle;ois;0.15562115609645844;9
140;celeba;oracle;disentanglement;0.3832739547951607;0
141;celeba;oracle;disentanglement;0.3798928003700387;1
142;celeba;oracle;disentanglement;0.3844557164252817;2
143;celeba;oracle;disentanglement;0.3828337001346385;3
144;celeba;oracle;disentanglement;0.38186439768856295;4
145;celeba;oracle;disentanglement;0.3821384730157085;5
146;celeba;oracle;disentanglement;0.3827590960597621;6
147;celeba;oracle;disentanglement;0.39289229964049593;7
148;celeba;oracle;disentanglement;0.38683238441272705;8
149;celeba;oracle;disentanglement;0.379527297188086;9
150;celeba;vlgcbm;leakage;0.941998758930601;0
151;celeba;vlgcbm;leakage;0.8812108324647306;1
152;celeba;vlgcbm;leakage;0.92234803393116;2
153;celeba;vlgcbm;leakage;0.869819331893857;3
154;celeba;vlgcbm;leakage;0.8907984832420651;4
155;celeba;vlgcbm;leakage;0.8808107891938565;5
156;celeba;vlgcbm;leakage;0.9328422586785854;6
157;celeba;vlgcbm;leakage;0.9167786113681963;7
158;celeba;vlgcbm;leakage;0.922765362097608;8
159;celeba;vlgcbm;leakage;0.8838735509246608;9
160;celeba;vlgcbm;label_f1;0.9833469434549633;0
161;celeba;vlgcbm;label_f1;0.9839275189347672;1
162;celeba;vlgcbm;label_f1;0.9841609701812378;2
163;celeba;vlgcbm;label_f1;0.9848402390922346;3
164;celeba;vlgcbm;label_f1;0.9836635220832668;4
165;celeba;vlgcbm;label_f1;0.9836594329668857;5
166;celeba;vlgcbm;label_f1;0.9844672655258568;6
167;celeba;vlgcbm;label_f1;0.9848379775781899;7
168;celeba;vlgcbm;label_f1;0.9826835314503699;8
169;celeba;vlgcbm;label_f1;0.9843889823449318;9
170;celeba;vlgcbm;avg_concept_auc;0.3064150399364404;0
171;celeba;vlgcbm;avg_concept_auc;0.3045914799432183;1
172;celeba;vlgcbm;avg_concept_auc;0.3102253243828324;2
173;celeba;vlgcbm;avg_concept_auc;0.29811487441136214;3
174;celeba;vlgcbm;avg_concept_auc;0.3089348974843716;4
175;celeba;vlgcbm;avg_concept_auc;0.3079069141575498;5
176;celeba;vlgcbm;avg_concept_auc;0.30610447247431466;6
177;celeba;vlgcbm;avg_concept_auc;0.30462140747269373;7
178;celeba;vlgcbm;avg_concept_auc;0.3046194723337744;8
179;celeba;vlgcbm;avg_concept_auc;0.3066425662167887;9
180;celeba;vlgcbm;ois;0.18912722170352936;0
181;celeba;vlgcbm;ois;0.18988831341266632;1
182;celeba;vlgcbm;ois;0.1827220320701599;2
183;celeba;vlgcbm;ois;0.18519417941570282;3
184;celeba;vlgcbm;ois;0.18306849896907806;4
185;celeba;vlgcbm;ois;0.18471156060695648;5
186;celeba;vlgcbm;ois;0.1855025589466095;6
187;celeba;vlgcbm;ois;0.18420416116714478;7
188;celeba;vlgcbm;ois;0.18470889329910278;8
189;celeba;vlgcbm;ois;0.18446755409240723;9
190;celeba;vlgcbm;disentanglement;0.16803767890650895;0
191;celeba;vlgcbm;disentanglement;0.1690883028536768;1
192;celeba;vlgcbm;disentanglement;0.17825344124589818;2
193;celeba;vlgcbm;disentanglement;0.16259611273634197;3
194;celeba;vlgcbm;disentanglement;0.1612748062683606;4
195;celeba;vlgcbm;disentanglement;0.17526555236811112;5
196;celeba;vlgcbm;disentanglement;0.16611357342666472;6
197;celeba;vlgcbm;disentanglement;0.18072976518712053;7
198;celeba;vlgcbm;disentanglement;0.1632529993964059;8
199;celeba;vlgcbm;disentanglement;0.1686846005761582;9
200;celeba;resnetcbm;leakage;0.5129852205186735;0
201;celeba;resnetcbm;leakage;0.48401537301665476;1
202;celeba;resnetcbm;leakage;0.5062456002017857;2
203;celeba;resnetcbm;leakage;0.4892008564113082;3
204;celeba;resnetcbm;leakage;0.5212971861797626;4
205;celeba;resnetcbm;leakage;0.4992082628947779;5
206;celeba;resnetcbm;leakage;0.5087138876964985;6
207;celeba;resnetcbm;leakage;0.5150953516265988;7
208;celeba;resnetcbm;leakage;0.5106011989765155;8
209;celeba;resnetcbm;leakage;0.5083892975521981;9
210;celeba;resnetcbm;label_f1;0.9572766417482375;0
211;celeba;resnetcbm;label_f1;0.9625352360378856;1
212;celeba;resnetcbm;label_f1;0.9634100346288408;2
213;celeba;resnetcbm;label_f1;0.9521286627288505;3
214;celeba;resnetcbm;label_f1;0.9635144184211588;4
215;celeba;resnetcbm;label_f1;0.9606199860613452;5
216;celeba;resnetcbm;label_f1;0.9630330172558512;6
217;celeba;resnetcbm;label_f1;0.8771692090416593;7
218;celeba;resnetcbm;label_f1;0.9568026036981787;8
219;celeba;resnetcbm;label_f1;0.9599336179778002;9
220;celeba;resnetcbm;avg_concept_auc;0.7484095002658924;0
221;celeba;resnetcbm;avg_concept_auc;0.7430664733134698;1
222;celeba;resnetcbm;avg_concept_auc;0.7419096946287135;2
223;celeba;resnetcbm;avg_concept_auc;0.7466012058452944;3
224;celeba;resnetcbm;avg_concept_auc;0.7427032313205063;4
225;celeba;resnetcbm;avg_concept_auc;0.7423989143759879;5
226;celeba;resnetcbm;avg_concept_auc;0.7429946290478106;6
227;celeba;resnetcbm;avg_concept_auc;0.7388432826937784;7
228;celeba;resnetcbm;avg_concept_auc;0.7444018819354434;8
229;celeba;resnetcbm;avg_concept_auc;0.7345332177123962;9
230;celeba;resnetcbm;ois;0.12773680686950684;0
231;celeba;resnetcbm;ois;0.12434270977973938;1
232;celeba;resnetcbm;ois;0.12648528814315796;2
233;celeba;resnetcbm;ois;0.12580469250679016;3
234;celeba;resnetcbm;ois;0.12545034289360046;4
235;celeba;resnetcbm;ois;0.12440471351146698;5
236;celeba;resnetcbm;ois;0.12662625312805176;6
237;celeba;resnetcbm;ois;0.12644977867603302;7
238;celeba;resnetcbm;ois;0.12942825257778168;8
239;celeba;resnetcbm;ois;0.12675067782402039;9
240;celeba;resnetcbm;disentanglement;0.7500098535020441;0
241;celeba;resnetcbm;disentanglement;0.7425367292188065;1
242;celeba;resnetcbm;disentanglement;0.7488921632938201;2
243;celeba;resnetcbm;disentanglement;0.7514644183747661;3
244;celeba;resnetcbm;disentanglement;0.7400821479220591;4
245;celeba;resnetcbm;disentanglement;0.7511794510091468;5
246;celeba;resnetcbm;disentanglement;0.7483951882753558;6
247;celeba;resnetcbm;disentanglement;0.7427987505156382;7
248;celeba;resnetcbm;disentanglement;0.7488313276467736;8
249;celeba;resnetcbm;disentanglement;0.7446745974671138;9
250;shapes3d;labo;leakage;0.8785536304890188;0
251;shapes3d;labo;leakage;0.8785536304890188;1
252;shapes3d;labo;leakage;0.8785536304890188;2
253;shapes3d;labo;leakage;0.8785536304890188;3
254;shapes3d;labo;leakage;0.8785536304890188;4
255;shapes3d;labo;leakage;0.8785536304890188;5
256;shapes3d;labo;leakage;0.8785536304890188;6
257;shapes3d;labo;leakage;0.8785536304890188;7
258;shapes3d;labo;leakage;0.8785536304890188;8
259;shapes3d;labo;leakage;0.8785536304890188;9
260;shapes3d;labo;label_f1;0.7644400514912842;0
261;shapes3d;labo;label_f1;0.7644400514912842;1
262;shapes3d;labo;label_f1;0.7644400514912842;2
263;shapes3d;labo;label_f1;0.7644400514912842;3
264;shapes3d;labo;label_f1;0.7644400514912842;4
265;shapes3d;labo;label_f1;0.7644400514912842;5
266;shapes3d;labo;label_f1;0.7644400514912842;6
267;shapes3d;labo;label_f1;0.7644400514912842;7
268;shapes3d;labo;label_f1;0.7644400514912842;8
269;shapes3d;labo;label_f1;0.7644400514912842;9
270;shapes3d;labo;avg_concept_auc;0.31302980839782785;0
271;shapes3d;labo;avg_concept_auc;0.3136298150566003;1
272;shapes3d;labo;avg_concept_auc;0.31289842252804995;2
273;shapes3d;labo;avg_concept_auc;0.3145639561460185;3
274;shapes3d;labo;avg_concept_auc;0.31467614104885816;4
275;shapes3d;labo;avg_concept_auc;0.31283302643575356;5
276;shapes3d;labo;avg_concept_auc;0.31152914275951427;6
277;shapes3d;labo;avg_concept_auc;0.31296712417969397;7
278;shapes3d;labo;avg_concept_auc;0.31446786455488;8
279;shapes3d;labo;avg_concept_auc;0.31251136807651286;9
280;shapes3d;labo;ois;0.15156018733978271;0
